Song,Artists,Release Date,Popularity
I Just Wanna Love U (Give It 2 Me),['JAY-Z'],2010-11-22,39
One Minute Man (feat. Ludacris),"['Missy Elliott', 'Ludacris']",2001-05-14,57
Danger (Been So Long) (feat. Nivea),"['Mystikal', 'Nivea']",2004-08-10,37
Only Time,['Enya'],2009-12-01,45
I Do!!,['Toya'],2001-09-25,23
Never Had A Dream Come True,['S Club 7'],2000-06-12,52
Stranger in My House,['Tamia'],2000-10-01,47
Irresistible,['Jessica Simpson'],2001-06-05,42
Heard It All Before,['Sunshine Anderson'],2001,55
The Space Between,['Dave Matthews Band'],2001-02-27,59
There You'll Be - Remastered Version,['Faith Hill'],2007,55
Love,"['Pollie Pop', 'Musiq Soulchild']",2001,0
It's Over Now,['112'],2001,62
No More (Baby I'ma Do Right),['3LW'],2000-11-06,55
Turn Off The Light,['Nelly Furtado'],2010-01-01,33
Ain't Nothing 'Bout You,['Brooks & Dunn'],2009-09-08,58
Play,['Jennifer Lopez'],2001-01-23,54
I'm Already There,['Lonestar'],2001-03-27,61
My Baby,"[""Lil' Romeo""]",2001-01-01,33
Beautiful Day,['U2'],2000-01-01,63
Austin,['Blake Shelton'],2001-07-31,63
Southern Hospitality (Featuring Pharrell),"['Ludacris', 'Pharrell Williams']",2000-01-01,52
Grown Men Don't Cry,['Tim McGraw'],2010-11-30,0
Livin' It Up,"['Ja Rule', 'Case']",2012-01-01,42
"Loverboy (feat. Da Brat, Ludacris, Twenty II & Shawnna) - Remix","['Mariah Carey', 'Da Brat', 'Ludacris', 'Twenty II', 'Shawnna']",2003-10-14,0
Contagious,['The Isley Brothers'],2001-01-01,50
Who I Am,['Jessica Andrews'],2001,1
Music,"['Erick Sermon', 'Marvin Gaye']",2001-08-27,54
I Wanna Be Bad,['Willa Ford'],2001-06-19,29
Don't Happen Twice,['Kenny Chesney'],2000-09-25,53
One More Day,['Diamond Rio'],1991,48
I Wish - Radio Edit,['R. Kelly'],2000,0
It's A Great Day To Be Alive,['Travis Tritt'],2000-10-01,70
I'm a Thug,['Trick Daddy'],2001-03-20,57
Here's to the Night,['Eve 6'],2000,57
You Shouldn't Kiss Me Like This,['Toby Keith'],2008-01-01,49
Dance with Me,['Debelah Morgan'],2000,42
"So Fresh, So Clean",['OutKast'],2000-10-31,67
E.I.,['Nelly'],2000-06-27,3
Be Like That,['3 Doors Down'],2000,59
Most Girls,['P!nk'],2000,0
Oochie Wally - Remix,"['Nas', 'Bravehearts']",2001-04-24,34
Hero,['Enrique Iglesias'],2001-01-01,62
Hemorrhage (In My Hands),['Fuel'],2005,53
